accountId,accountSnapDate,email,username,D0_x,D1_x,D2_x,firstLogin_x,lastContact,firstLoginPlusThree_x,accountSnapshotAndLoginPlus3TimeDifference,alliance,basesCatapult,basesDefence,basesFrontier,basesResource,battlesLost,battlesLostPvE,battlesLostPvP,battlesWon,battlesWonPvE,battlesWonPvP,castleLevel,playerSnapDate,deactivatedAtTime,deckSize,ftueTypesCompleted,heroLevel,isVip,playerId,pointsConquest,pointsSupport,pointsWar,pointsWarHighest,powerCards,powerCity,powerHero,powerMap,powerMonsterSkill,powerQuests,powerResearch,powerTotal,powerTroop,purchasedGoldCurrent,purchasedGoldTotal,questsCompleted,sessionCount,playerSnapshotAndLoginPlus3TimeDifference,session_events_total,session_events_avg,session_length_mins_total,session_length_mins_avg,avg_event_interval_avg,playerIsGuest,registeredEmail,playerInAlliance,totalBattles,FTUEIntroCompleted,FTUEOnRailsCompleted,FTUEDayOneReturnIntroCompleted,FTUEDayOneReturnCompleted,churnedWithin3Days
582648cc5f94a9ff367f8bf2,2017-05-31 07:30:46.656000,,Guest27297612,1,0,0,2017-05-28 23:16:46.226000,2017-05-28 23:21:36.496000,2017-05-31 23:16:46.226000,0 days 15:45:59.570000,0,0,0,0,0,0,0,0,3,3,0,2,2017-05-31 07:30:43.080000,1970-01-01 00:00:00,2,[313456751.0],1.0,0,592b5a5e6631d1703c552182,1,0.0,110.0,127.0,804,340,50,100,20,0,0,1451,137,0,0,0,1,0 days 15:46:03.146000,295.0,295.0,4.837833333333333,4.837833333333333,0.016399435028248588,1,0,0,3,1,0,0,0,1
5835cbed5f94a9ff367fa7a4,2017-06-15 07:39:05.728000,,Guest28314221,1,0,0,2017-06-12 05:04:06.690000,2017-06-12 16:52:59.096000,2017-06-15 05:04:06.690000,-1 days +21:25:00.962000,0,0,0,0,0,0,0,0,3,3,0,2,2017-06-15 07:39:03.909000,1970-01-01 00:00:00,2,"[313456751.0, 1427921910.0]",2.0,0,593e20c658b1fa327cec5d96,1,0.0,134.0,155.0,804,340,145,100,20,800,0,2346,137,0,0,0,2,-1 days +21:25:02.781000,413.0,206.5,4.558283333333334,2.279141666666667,0.03283560298102981,1,0,0,3,1,1,0,0,1
58374c7d5f94a9ff367faa0c,2017-05-29 07:30:49.157000,,Guest28412669,1,0,0,2017-05-26 23:15:30.854000,2017-05-26 23:20:10.513000,2017-05-29 23:15:30.854000,0 days 15:44:41.697000,0,0,0,0,0,0,0,0,2,2,0,2,2017-05-29 07:30:46.029000,1970-01-01 00:00:00,2,[313456751.0],1.0,0,5928b712267d408d3c3cfc8a,0,0.0,39.0,46.0,268,290,50,0,20,0,0,710,82,0,0,0,2,0 days 15:44:44.825000,216.0,108.0,5.2043333333333335,2.6021666666666667,0.019614752770673486,1,0,0,2,1,0,0,0,1
583b04bfe1b4360e37eedd59,2017-05-31 07:30:46.796000,,Guest28656447,1,0,0,2017-05-28 08:44:33.766000,2017-05-28 08:47:16.671000,2017-05-31 08:44:33.766000,0 days 01:13:46.970000,0,0,0,0,0,0,0,0,2,2,0,2,2017-05-31 07:30:43.059000,2017-06-01 10:18:18.516000,2,[313456751.0],1.0,0,592a8df162c9f0933c2d9418,0,0.0,39.0,46.0,268,340,50,0,20,0,0,760,82,0,0,0,1,0 days 01:13:50.707000,253.0,253.0,2.7150833333333333,2.7150833333333333,0.01073155467720685,1,0,0,2,1,0,0,0,1
583f037c4ef63cdd75936588,2017-06-23 07:39:32.316000,,Guest28918268,1,0,0,2017-06-20 19:56:01.349000,2017-06-20 19:58:51.827000,2017-06-23 19:56:01.349000,0 days 12:16:29.033000,0,0,0,0,0,0,0,0,2,2,0,2,2017-06-23 07:39:30.434000,1970-01-01 00:00:00,2,[313456751.0],1.0,0,59497dd089d81baa7bcbacca,0,0.0,39.0,46.0,268,340,50,0,20,0,0,760,82,0,0,0,1,0 days 12:16:30.915000,251.0,251.0,2.8413,2.8413,0.011319920318725099,1,0,0,2,1,0,0,0,1
58412e1c665f03be738ba37e,2017-06-28 07:39:39.941000,,Dragonclaw,1,0,0,2017-06-25 18:50:06.376000,2017-06-25 22:56:23.469000,2017-06-28 18:50:06.376000,0 days 11:10:26.435000,59451d3d89d81baa7bc48dea,0,0,0,0,5,5,0,19,19,0,6,2017-06-28 07:39:37.958000,1970-01-01 00:00:00,29,"[313456751.0, 1427921910.0, 300569021.0, 787661485.0, -1363160093.0, -1419346422.0, -241805991.0, 854298481.0, 472678373.0, -1935169863.0, 1901238643.0, 579337427.0, 1921968720.0, -739336870.0, -1357868201.0, 1243408147.0, 860482695.0, 1422287884.0, 1059201156.0, -1972050007.0, 1242451764.0, 642682203.0, -1884113250.0, 1854832277.0, 1000152001.0]",11.0,1,595005defeff748f30bed4bb,11,433.0,8775.0,10126.0,8096,8197,4750,1100,410,5720,10600,42143,3270,0,0,0,4,0 days 11:10:28.418000,1778.0,444.5,96.91061666666667,24.227654166666667,0.08130322668006419,0,0,1,24,1,1,0,0,1
584188958a1cf9e275d3ca3d,2017-06-27 07:39:33.525000,,Guest29083413,1,0,0,2017-06-24 11:04:39.105000,2017-06-24 11:09:45.480000,2017-06-27 11:04:39.105000,0 days 03:25:05.580000,0,0,0,0,0,0,0,0,3,3,0,2,2017-06-27 07:39:31.499000,1970-01-01 00:00:00,2,[313456751.0],1.0,0,594e4746feff748f30ba1fc9,1,0.0,134.0,155.0,804,340,50,100,20,0,0,1451,137,0,0,0,1,0 days 03:25:07.606000,298.0,298.0,5.10625,5.10625,0.01713506711409396,1,0,0,3,1,0,0,0,1
5842f0f54ef63cdd759373e9,2017-06-19 07:39:08.529000,,Guest29175669,1,0,0,2017-06-16 07:32:30.642000,2017-06-16 12:17:04.466000,2017-06-19 07:32:30.642000,-1 days +23:53:22.113000,58ddd57cef44044b31968cc5,0,0,0,0,0,0,0,4,4,0,3,2017-06-19 07:39:06.690000,1970-01-01 00:00:00,33,"[313456751.0, 1427921910.0, 300569021.0, 787661485.0, -1363160093.0, -1935169863.0, 1901238643.0, 1272231833.0, 1059201156.0, -739336870.0, -1972050007.0, -2135006223.0, 1242451764.0]",6.0,0,5943898e1151ebc87c28e797,1,0.0,204.0,236.0,2328,797,1220,100,350,1160,550,6872,367,0,0,0,3,-1 days +23:53:23.952000,712.0,237.33333333333334,34.804066666666664,11.601355555555555,0.09817877760246606,1,0,1,4,1,1,0,0,1
5843b144665f03be738bad6c,2017-06-28 07:39:39.957000,,Guest29224900,1,0,0,2017-06-25 21:08:57.222000,2017-06-25 21:10:36,2017-06-28 21:08:57.222000,0 days 13:29:17.265000,0,0,0,0,0,0,0,0,0,0,0,1,2017-06-28 07:39:37.964000,1970-01-01 00:00:00,2,[],1.0,0,595026691151ebc87c4145a7,0,0.0,0.0,0.0,268,0,50,0,20,0,0,338,0,0,0,0,1,0 days 13:29:19.258000,77.0,77.0,1.6463,1.6463,0.021380519480519482,1,0,0,0,0,0,0,0,1
58446b066146e9bd73690757,2017-06-01 07:30:45.895000,,Blank,1,0,1,2017-05-29 04:11:03.873000,2017-06-03 16:50:29.303000,2017-06-01 04:11:03.873000,-1 days +20:40:17.978000,0,0,0,0,0,0,0,0,7,7,0,4,2017-06-01 07:30:42.667000,1970-01-01 00:00:00,2,"[313456751.0, 1427921910.0, 472678373.0, 1484251237.0, 1059201156.0, 642682203.0, -1419346422.0]",5.0,1,592b9f5762c9f0933c2f91e9,4,0.0,542.0,557.0,1808,1090,828,400,20,1670,2900,8936,220,0,0,0,2,-1 days +20:40:21.206000,767.0,255.66666666666666,34.10163333333333,11.36721111111111,0.059145524021844774,0,0,0,7,1,1,1,0,0
